ID,status,superkingdom,phylum,class,order,family,genus,species,strain
TARA_SOC_MAG_00001.fa,nomatch,,,,,,,,
TARA_SOC_MAG_00002.fa,nomatch,,,,,,,,
TARA_SOC_MAG_00003.fa,nomatch,,,,,,,,
TARA_SOC_MAG_00004.fa,nomatch,,,,,,,,
TARA_SOC_MAG_00005.fa,nomatch,,,,,,,,
TARA_SOC_MAG_00006.fa,found,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Cryomorphaceae,unassigned,Cryomorphaceae bacterium ASP10-05a,
TARA_SOC_MAG_00007.fa,nomatch,,,,,,,,
TARA_SOC_MAG_00008.fa,nomatch,,,,,,,,
TARA_SOC_MAG_00010.fa,nomatch,,,,,,,,
TARA_SOC_MAG_00011.fa,found,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,unassigned,Flavobacteriaceae bacterium ASP10-09a,
TARA_SOC_MAG_00012.fa,nomatch,,,,,,,,
TARA_SOC_MAG_00013.fa,nomatch,,,,,,,,
TARA_SOC_MAG_00014.fa,nomatch,,,,,,,,
